,Unnamed: 0,Date,Q1,Q2,Q3,Q4,AveragePrice,Total Volume,Medium,Large,Extra Large,Other,type,year,conventional,organic
1,47,2017-02-05,True,False,False,False,0.67,11213596.29,3986429.59,3550403.07,214137.93,3462625.6999999993,conventional,2017,True,False
2,7,2018-02-04,True,False,False,False,0.8,10894677.77,4473811.63,4097591.67,146357.78,2176916.69,conventional,2018,True,False
4,46,2016-02-07,True,False,False,False,0.7,10361698.17,2930343.28,3950852.38,424389.6,3056112.9100000006,conventional,2016,True,False
8,47,2015-02-01,True,False,False,False,0.85,9032180.67,4794142.14,3460743.8,177145.49,600149.2400000005,conventional,2015,True,False
11,34,2015-05-03,False,True,False,False,0.88,8567534.49,4340117.03,3403145.1,192473.92,631798.4399999998,conventional,2015,True,False
15,49,2017-01-22,True,False,False,False,0.76,8153340.48,3089603.62,2659661.41,106559.24,2297516.21,conventional,2017,True,False
16,48,2017-01-29,True,False,False,False,0.76,8055482.07,3009291.31,2295856.21,148335.97,2601998.5799999996,conventional,2017,True,False
20,34,2017-05-07,False,True,False,False,1.08,7872203.23,2851510.24,2470795.47,150595.46,2399302.06,conventional,2017,True,False
21,33,2016-05-08,False,True,False,False,0.79,7808461.74,2716222.01,2615648.28,336387.9,2140203.5500000007,conventional,2016,True,False
22,51,2016-01-03,True,False,False,False,0.73,7730431.28,2315175.35,2856102.41,257268.16,2301885.3599999994,conventional,2016,True,False
25,34,2016-05-01,False,True,False,False,0.75,7661483.37,2817406.2,2628579.48,291448.73,1924048.96,conventional,2016,True,False
48,29,2016-06-05,False,True,False,False,0.94,7365675.31,2921963.17,2131717.34,373358.37,1938636.4299999997,conventional,2016,True,False
58,52,2017-01-01,True,False,False,False,0.89,7175276.66,2266313.37,2877688.31,90899.53,1940375.45,conventional,2017,True,False
62,0,2017-12-31,False,False,False,True,0.93,7132711.23,2280934.17,3201737.11,111845.09,1538194.8600000006,conventional,2017,True,False
67,25,2016-07-03,False,False,True,False,1.1,7087455.16,2409025.69,2439611.73,356022.1,1882795.6400000006,conventional,2016,True,False
77,27,2017-06-25,False,True,False,False,1.15,6999255.87,2706875.38,1977949.64,191069.11,2123361.7400000007,conventional,2017,True,False
86,35,2016-04-24,False,True,False,False,0.84,6933382.4,2507347.38,2355998.94,325242.94,1744793.1400000006,conventional,2016,True,False
95,46,2017-02-12,True,False,False,False,0.79,6862176.64,2429385.13,1870884.97,158534.53,2403372.0100000002,conventional,2017,True,False
101,45,2016-02-14,True,False,False,False,0.82,6807283.15,1998149.71,1974912.11,278558.48,2555662.85,conventional,2016,True,False
103,1,2018-03-18,True,False,False,False,1.02,6802084.11,2161037.82,2305253.24,94087.86,2241705.190000001,conventional,2018,True,False
109,4,2018-02-25,True,False,False,False,1.03,6750361.46,2666133.31,1947660.32,110662.05,2025905.78,conventional,2018,True,False
112,28,2015-06-14,False,True,False,False,0.97,6741662.31,4075881.34,1771908.98,210670.82,683201.1699999997,conventional,2015,True,False
116,24,2016-07-10,False,False,True,False,1.08,6721690.88,2399360.67,2117397.07,292540.95,1912392.1900000002,conventional,2016,True,False
117,6,2018-02-11,True,False,False,False,0.98,6718358.1,2787033.93,1781591.88,119593.17,2030139.1199999996,conventional,2018,True,False
118,25,2015-07-05,False,False,True,False,1.12,6718011.83,3581149.88,2120303.06,254187.47,762371.4200000002,conventional,2015,True,False
119,30,2016-05-29,False,True,False,False,0.98,6700986.44,2522305.33,2097509.45,341992.36,1739179.3000000003,conventional,2016,True,False
120,43,2015-03-01,True,False,False,False,0.84,6700134.25,3516551.29,2460932.41,170580.54,552070.0099999998,conventional,2015,True,False
121,17,2016-08-28,False,False,True,False,0.99,6696300.05,2683109.8,1878139.55,133979.15,2001071.5500000003,conventional,2016,True,False
123,0,2018-03-25,True,False,False,False,1.04,6687009.44,1932162.02,2715163.6,92955.04,1946728.7799999998,conventional,2018,True,False
124,16,2016-09-04,False,False,True,False,1.08,6681646.14,2501655.4,2179345.27,107653.45,1892992.0199999998,conventional,2016,True,False
132,50,2017-01-15,True,False,False,False,0.93,6656554.36,2075029.62,2450277.12,95137.62,2036110.0,conventional,2017,True,False
133,51,2017-01-08,True,False,False,False,1.0,6653048.21,1988635.39,2569566.25,109029.01,1985817.5600000003,conventional,2017,True,False
134,33,2015-05-10,False,True,False,False,0.93,6650357.96,4085858.78,1735132.32,194575.97,634790.8900000001,conventional,2015,True,False
140,9,2018-01-21,True,False,False,False,1.12,6610010.64,2378177.09,2590301.7,122950.68,1518581.1699999997,conventional,2018,True,False
141,26,2017-07-02,False,False,True,False,1.28,6607292.61,2527123.67,1942683.02,224121.48,1913364.4400000004,conventional,2017,True,False
142,39,2016-03-27,True,False,False,False,0.93,6603707.93,1935666.12,2149391.86,311356.91,2207293.0399999996,conventional,2016,True,False
143,28,2017-06-18,False,True,False,False,1.2,6599048.85,2691571.96,1650089.15,191313.38,2066074.3599999999,conventional,2017,True,False
145,43,2016-02-28,True,False,False,False,0.89,6588277.7,1873878.11,2020327.87,302210.56,2391861.1599999997,conventional,2016,True,False
153,19,2016-08-14,False,False,True,False,1.07,6538335.89,2200099.61,2538994.07,218247.48,1580994.7299999995,conventional,2016,True,False
154,27,2016-06-19,False,True,False,False,1.06,6528056.18,2409003.0,2045112.18,319711.53,1754229.4699999997,conventional,2016,True,False
157,37,2016-04-10,False,True,False,False,0.94,6509000.56,2248561.59,1958358.83,358015.82,1944064.3199999996,conventional,2016,True,False
158,30,2017-06-04,False,True,False,False,1.2,6507093.57,2378539.46,1580024.38,141320.44,2407209.2900000005,conventional,2017,True,False
159,47,2016-01-31,True,False,False,False,0.88,6506673.96,2126066.85,2069192.92,287234.03,2024180.1599999995,conventional,2016,True,False
160,28,2016-06-12,False,True,False,False,1.01,6506234.86,2597934.17,1869930.06,328653.8,1709716.8300000003,conventional,2016,True,False
162,31,2016-05-22,False,True,False,False,0.9,6501981.08,2238875.14,2178820.82,329737.94,1754547.1799999997,conventional,2016,True,False
163,25,2017-07-09,False,False,True,False,1.28,6499668.48,2634902.26,1818682.87,207945.39,1838137.9600000004,conventional,2017,True,False
165,2,2018-03-11,True,False,False,False,1.11,6488605.43,2277437.31,1750118.87,108244.33,2352804.919999999,conventional,2018,True,False
168,40,2016-03-20,True,False,False,False,0.91,6476206.54,1893617.8,2191468.26,299002.93,2092117.5500000005,conventional,2016,True,False
172,42,2016-03-06,True,False,False,False,0.92,6429870.23,1893787.2,1975668.02,325582.2,2234832.81,conventional,2016,True,False
176,26,2016-06-26,False,True,False,False,1.03,6407277.49,2333532.13,1967324.63,328206.37,1778214.3600000003,conventional,2016,True,False
178,36,2016-04-17,False,True,False,False,0.93,6397813.48,2370403.05,1875909.98,382295.13,1769205.3200000008,conventional,2016,True,False
180,5,2018-02-18,True,False,False,False,1.1,6379219.83,2086478.7,2413234.64,114573.33,1764933.1599999997,conventional,2018,True,False
181,29,2015-06-07,False,True,False,False,0.98,6374842.9,3614314.44,1860329.3,221330.48,678868.6800000004,conventional,2015,True,False
182,44,2016-02-21,True,False,False,False,0.89,6374019.03,1776499.0,2073957.12,267508.94,2256053.97,conventional,2016,True,False
183,33,2017-05-14,False,True,False,False,1.17,6370622.3,2375685.35,1570244.89,134825.51,2289866.55,conventional,2017,True,False
190,44,2017-02-26,True,False,False,False,0.95,6342089.92,2193499.5,2038284.77,155642.35,1954663.2999999998,conventional,2017,True,False
195,18,2016-08-21,False,False,True,False,1.05,6308000.34,2646367.78,1712067.2,171379.36,1778186.0,conventional,2016,True,False
