,Unnamed: 0,Q1,Q2,Q3,Q4,AveragePrice,Medium,Large,Extra Large,Other,year,conventional,organic
8661,34,False,True,False,False,1.48,54176.97,51542.88,0.0,13339.71,2015,False,True
9384,19,False,False,True,False,1.96,24630.76,52035.43,0.0,13574.239999999998,2015,False,True
86,35,False,True,False,False,0.84,2507347.38,2355998.94,325242.94,1744793.1400000006,2016,True,False
237,13,False,False,True,False,1.15,2357903.8,1924933.51,117423.95,1675327.42,2016,True,False
6828,31,False,True,False,False,1.37,22352.56,102703.17,4.59,86020.97000000002,2016,False,True
7204,21,False,False,True,False,1.56,21895.14,83894.93,12.45,82691.71000000004,2016,False,True
7263,22,False,False,True,False,1.56,22033.28,82329.89,26.42,80650.09,2016,False,True
6847,20,False,False,True,False,1.48,22201.7,79011.43,0.0,108825.41999999998,2016,False,True
9242,10,False,False,False,True,2.02,13352.47,54624.49,7.72,27614.57,2016,False,True
6769,43,True,False,False,False,1.28,16583.5,95085.1,4.55,102985.31999999999,2016,False,True
392,39,True,False,False,False,1.1,2609532.63,1869271.31,193577.55,669440.1799999999,2015,True,False
322,26,False,True,False,False,1.1,3163839.74,1610910.07,212173.21,654818.9999999993,2015,True,False
160,28,False,True,False,False,1.01,2597934.17,1869930.06,328653.8,1709716.8300000003,2016,True,False
181,29,False,True,False,False,0.98,3614314.44,1860329.3,221330.48,678868.6800000004,2015,True,False
320,17,False,False,True,False,1.08,3104607.82,1660274.32,233027.36,649475.6500000005,2015,True,False
293,3,False,False,False,True,0.78,1943065.5,2100246.17,221957.26,1510267.3399999996,2015,True,False
8427,11,False,False,False,True,1.98,15488.42,67537.91,12.36,45928.259999999995,2016,False,True
476,48,True,False,False,False,1.06,2380955.61,1827783.28,150535.5,570609.8699999999,2015,True,False
145,43,True,False,False,False,0.89,1873878.11,2020327.87,302210.56,2391861.1599999997,2016,True,False
8554,36,False,True,False,False,1.52,55948.06,57078.01,1.49,10823.779999999997,2015,False,True
7272,39,True,False,False,False,1.42,14744.95,92064.48,7.58,77817.34999999998,2016,False,True
284,16,False,False,True,False,1.09,2859325.91,2077193.6,240185.0,629688.27,2015,True,False
8715,26,False,True,False,False,1.67,46841.35,61727.62,0.0,8344.82,2015,False,True
273,46,True,False,False,False,0.91,2908845.38,2200393.89,149458.93,612526.3800000001,2015,True,False
9032,8,False,False,False,True,1.6,20050.21,63408.14,0.0,20872.84000000001,2015,False,True
8138,51,True,False,False,False,1.24,107490.73,25711.96,2.93,9144.149999999994,2015,False,True
6585,34,False,True,False,False,1.24,16747.64,132440.93,0.0,76157.98999999999,2016,False,True
7790,50,True,False,False,False,1.1,123712.51,25975.27,1.47,8421.429999999998,2015,False,True
6854,25,False,False,True,False,1.58,24660.35,110483.19,21.71,74330.34999999999,2016,False,True
9046,9,False,False,False,True,1.64,20902.94,66867.39,0.0,16147.699999999997,2015,False,True
539,4,False,False,False,True,0.91,1461699.38,1810202.7,222311.07,1081497.4700000002,2015,True,False
8334,32,False,True,False,False,1.49,65830.84,56261.16,0.0,11667.309999999998,2015,False,True
120,43,True,False,False,False,0.84,3516551.29,2460932.41,170580.54,552070.0099999998,2015,True,False
172,42,True,False,False,False,0.92,1893787.2,1975668.02,325582.2,2234832.81,2016,True,False
6861,19,False,False,True,False,1.47,28111.21,84313.38,35.82,96496.4,2016,False,True
9174,22,False,False,True,False,1.93,31604.24,57990.08,0.0,8855.51999999999,2015,False,True
153,19,False,False,True,False,1.07,2200099.61,2538994.07,218247.48,1580994.7299999995,2016,True,False
250,49,True,False,False,False,0.9,1653347.69,2336705.19,250106.17,1759854.180000001,2016,True,False
8771,24,False,False,True,False,1.8,45482.88,60702.07,3.11,8875.80999999999,2015,False,True
9609,12,False,False,False,True,2.0,18414.61,57015.39,0.0,6321.479999999996,2015,False,True
8228,14,False,False,True,False,1.84,19979.78,76879.66,3.11,42460.259999999995,2016,False,True
326,37,False,True,False,False,1.06,2848184.0,1988818.23,185198.77,614443.5099999998,2015,True,False
11,34,False,True,False,False,0.88,4340117.03,3403145.1,192473.92,631798.4399999998,2015,True,False
317,12,False,False,False,True,1.19,2359102.44,1664176.22,121961.08,1507256.5699999996,2016,True,False
9285,14,False,False,True,False,1.92,28489.91,60941.41,0.0,4836.219999999987,2015,False,True
9281,41,True,False,False,False,1.52,65441.32,21855.14,0.0,7122.709999999999,2015,False,True
240,15,False,False,True,False,1.12,2297601.9,1976499.46,114241.36,1671421.7899999998,2016,True,False
112,28,False,True,False,False,0.97,4075881.34,1771908.98,210670.82,683201.1699999997,2015,True,False
8640,30,False,True,False,False,1.5,52846.87,53628.31,0.0,13523.940000000002,2015,False,True
374,21,False,False,True,False,1.16,2940145.82,1737845.94,183471.03,566776.0800000003,2015,True,False
9421,5,False,False,False,True,1.6,14803.41,51282.8,0.0,22976.149999999994,2015,False,True
9502,20,False,False,True,False,2.03,23147.23,52640.84,0.0,10423.170000000013,2015,False,True
9140,1,False,False,False,True,1.35,12746.47,48195.95,1.52,38849.61000000001,2015,False,True
8352,46,True,False,False,False,1.35,94440.9,24587.9,0.0,13761.610000000008,2015,False,True
589,5,False,False,False,True,1.32,1513797.4,1394929.07,93901.07,1251188.0499999998,2016,True,False
21,33,False,True,False,False,0.79,2716222.01,2615648.28,336387.9,2140203.5500000007,2016,True,False
502,5,False,False,False,True,0.92,1602215.57,1917124.52,215632.16,1069305.91,2015,True,False
7120,37,False,True,False,False,1.4,16938.01,93768.59,0.0,82812.48999999999,2016,False,True
8606,48,True,False,False,False,1.3,80952.24,28216.13,0.0,12529.649999999998,2015,False,True
9405,21,False,False,True,False,1.99,26067.67,54133.2,0.0,9234.73000000001,2015,False,True
258,21,False,False,True,False,1.22,1922055.35,2069409.78,244730.21,1710964.95,2016,True,False
6870,35,False,True,False,False,1.39,18891.23,100137.58,3.04,89403.04999999999,2016,False,True
4,46,True,False,False,False,0.7,2930343.28,3950852.38,424389.6,3056112.9100000006,2016,True,False
510,14,False,False,True,False,1.14,1702965.49,2230693.51,273922.36,552209.7699999999,2015,True,False
7725,33,False,True,False,False,1.4,77103.7,70434.57,0.0,13032.009999999995,2015,False,True
519,1,False,False,False,True,0.94,1676601.43,1543280.76,266689.82,1209165.2000000002,2015,True,False
333,19,False,False,True,False,1.11,3098708.55,1731349.0,208724.73,577651.8000000003,2015,True,False
8243,50,True,False,False,False,1.33,17520.67,60382.97,0.0,60677.34000000001,2016,False,True
238,32,False,True,False,False,0.97,2247484.21,1968268.95,353196.44,1499923.11,2016,True,False
357,2,False,False,False,True,0.9,1638639.18,2137290.51,96836.26,1653880.1700000006,2016,True,False
256,44,True,False,False,False,0.96,3210177.22,1933699.49,172675.88,635318.7300000001,2015,True,False
255,27,False,True,False,False,1.07,3328631.93,1743509.25,218423.77,662032.3399999999,2015,True,False
450,3,False,False,False,True,0.98,1916640.11,1449671.84,86152.75,1610487.8299999998,2016,True,False
9762,9,False,False,False,True,2.58,9139.12,53304.49,6.17,13447.88000000001,2016,False,True
119,30,False,True,False,False,0.98,2522305.33,2097509.45,341992.36,1739179.3000000003,2016,True,False
8444,35,False,True,False,False,1.5,63539.73,51223.93,0.0,13402.789999999994,2015,False,True
159,47,True,False,False,False,0.88,2126066.85,2069192.92,287234.03,2024180.1599999995,2016,True,False
412,2,False,False,False,True,0.87,1806690.08,1627240.76,232985.13,1592438.3299999996,2015,True,False
688,9,False,False,False,True,1.39,1397559.4,1129206.16,82276.22,1289998.8800000004,2016,True,False
7308,29,False,True,False,False,1.55,26377.62,88667.93,7.66,67725.16,2016,False,True
8716,27,False,True,False,False,1.69,51294.9,55597.45,3.09,10013.099999999988,2015,False,True
9827,10,False,False,False,True,2.01,15960.2,48820.15,3.09,9015.84,2015,False,True
48,29,False,True,False,False,0.94,2921963.17,2131717.34,373358.37,1938636.4299999997,2016,True,False
345,41,True,False,False,False,1.06,2962520.41,1737353.95,194761.49,662527.2600000002,2015,True,False
449,11,False,False,False,True,1.08,1757211.58,2530023.18,221032.74,555041.8799999997,2015,True,False
7075,47,True,False,False,False,1.11,142332.45,41999.51,2.92,11697.01999999998,2015,False,True
8580,1,False,False,False,True,1.61,18006.04,60993.65,176.75,43551.98,2016,False,True
8865,39,True,False,False,False,1.53,56829.47,44390.86,0.0,10203.559999999998,2015,False,True
8589,6,False,False,False,True,2.13,21825.77,51895.85,7.69,48370.26,2016,False,True
480,1,False,False,False,True,0.95,1575318.71,1774200.38,90983.73,1482118.7200000002,2016,True,False
8940,42,True,False,False,False,1.48,75016.11,21619.82,0.0,11710.969999999994,2015,False,True
116,24,False,False,True,False,1.08,2399360.67,2117397.07,292540.95,1912392.1900000002,2016,True,False
7029,42,True,False,False,False,1.32,19796.42,86184.7,3.04,92977.41000000003,2016,False,True
842,7,False,False,False,True,1.68,1111431.87,1333386.69,120964.4,829275.4599999998,2016,True,False
205,30,False,True,False,False,0.98,3620440.35,1826496.62,209443.33,580523.0099999994,2015,True,False
296,6,False,False,False,True,0.83,2243013.44,2164098.99,195159.32,1152918.9400000002,2015,True,False
341,40,True,False,False,False,1.06,2348618.25,2314393.94,195791.46,713009.1199999996,2015,True,False
8,47,True,False,False,False,0.85,4794142.14,3460743.8,177145.49,600149.2400000005,2015,True,False
7062,27,False,True,False,False,1.57,23134.77,102745.34,35.56,71027.27000000002,2016,False,True
9946,11,False,False,False,True,2.07,14400.49,48933.21,3.1,6667.580000000007,2015,False,True
239,38,False,True,False,False,0.93,1805555.95,2247248.19,334735.17,1673304.4499999997,2016,True,False
6213,43,True,False,False,False,1.15,178033.64,59786.79,0.0,12478.149999999972,2015,False,True
7396,16,False,False,True,False,1.65,19885.38,82532.01,0.0,75904.98,2016,False,True
8954,18,False,False,True,False,1.85,30454.79,63850.97,3.11,13122.37000000001,2015,False,True
134,33,False,True,False,False,0.93,4085858.78,1735132.32,194575.97,634790.8900000001,2015,True,False
224,20,False,False,True,False,1.17,2152079.32,2039791.18,211671.11,1741285.9,2016,True,False
7420,18,False,False,True,False,1.53,28268.87,67090.59,3.11,81287.52,2016,False,True
281,8,False,False,False,True,0.95,2369824.75,2596785.28,211901.97,651915.9600000002,2015,True,False
8591,51,True,False,False,False,1.43,18211.06,66433.31,0.0,37444.92,2016,False,True
7229,36,False,True,False,False,1.39,17320.0,84073.76,6.08,85958.66,2016,False,True
202,48,True,False,False,False,0.88,1230068.19,2457751.77,272665.17,2285895.600000001,2016,True,False
176,26,False,True,False,False,1.03,2333532.13,1967324.63,328206.37,1778214.3600000003,2016,True,False
6902,38,False,True,False,False,1.39,17840.63,115062.35,0.0,73785.56,2016,False,True
8624,38,False,True,False,False,1.52,57082.3,51295.72,0.0,12436.220000000001,2015,False,True
8349,0,False,False,False,True,1.53,22779.87,56237.83,10.76,53861.85,2016,False,True
182,44,True,False,False,False,0.89,1776499.0,2073957.12,267508.94,2256053.97,2016,True,False
8727,45,True,False,False,False,1.52,85444.97,21689.75,0.0,9364.64,2015,False,True
7224,15,False,False,True,False,1.55,22135.19,97386.14,27.95,68068.26000000001,2016,False,True
9066,23,False,False,True,False,1.89,33422.15,59794.77,0.0,9864.30999999999,2015,False,True
