,Date,AveragePrice,Total Volume,Medium,Large,Extra Large,Other,type,year,region
1443,2018-02-18,1.52,1814929.97,246515.35,680037.45,1905.46,886471.71,organic,2018,TotalUS
1494,2018-03-18,1.54,1675804.22,170801.85,444949.69,1045.38,1059007.3,organic,2018,TotalUS
1502,2018-03-11,1.52,1664234.88,129169.72,408763.5,1401.87,1124899.7899999998,organic,2018,TotalUS
1511,2017-02-19,1.31,1634877.11,250591.21,632101.53,3295.09,748889.2800000001,organic,2017,TotalUS
1512,2018-03-04,1.52,1634430.77,142345.03,390129.5,1225.97,1100730.27,organic,2018,TotalUS
1518,2017-03-05,1.16,1619398.24,184006.16,374220.48,2542.94,1058628.6600000001,organic,2017,TotalUS
1540,2017-03-26,1.29,1581127.36,160491.66,355541.13,3888.05,1061206.5200000003,organic,2017,TotalUS
1546,2018-03-25,1.55,1559967.2,121007.94,342853.1,1070.24,1095035.9200000002,organic,2018,TotalUS
1569,2018-01-07,1.51,1517332.7,129541.43,296490.29,1289.07,1090011.91,organic,2018,TotalUS
1583,2017-04-16,1.49,1493331.28,176684.11,437947.67,5096.43,873603.07,organic,2017,TotalUS
1585,2017-04-02,1.42,1492167.41,183101.86,430841.87,3767.76,874455.9199999998,organic,2017,TotalUS
1593,2018-01-14,1.59,1476651.08,145680.62,323669.83,1580.01,1005720.6199999999,organic,2018,TotalUS
1596,2016-04-24,1.25,1475457.53,225429.09,524511.95,8687.81,716828.6799999999,organic,2016,TotalUS
1603,2018-02-25,1.57,1459852.55,122912.97,340374.83,1063.32,995501.43,organic,2018,TotalUS
1619,2017-02-26,1.21,1436663.15,150448.17,368526.18,3747.77,913941.03,organic,2017,TotalUS
1643,2017-06-11,1.56,1397448.17,160841.97,339777.07,3623.46,893205.6699999999,organic,2017,TotalUS
1645,2017-05-07,1.57,1394126.23,172722.76,386288.18,4161.33,830953.9600000001,organic,2017,TotalUS
1654,2017-04-09,1.43,1387436.32,148803.12,362152.44,8972.11,867508.6500000003,organic,2017,TotalUS
1658,2018-02-04,1.53,1384683.41,117922.52,287724.61,1703.52,977332.7599999999,organic,2018,TotalUS
1671,2017-05-14,1.55,1375125.12,164697.92,339920.6,4618.45,865888.1500000003,organic,2017,TotalUS
1695,2017-06-04,1.64,1352960.47,165665.93,387057.95,2865.59,797371.0000000001,organic,2017,TotalUS
1720,2017-03-12,1.38,1337596.89,152896.45,330081.75,3188.52,851430.1699999999,organic,2017,TotalUS
1722,2018-01-28,1.61,1336979.09,118616.17,280080.34,1270.61,937011.9700000001,organic,2018,TotalUS
1744,2016-05-01,1.28,1317867.0,238992.91,484383.87,22276.6,572213.6200000001,organic,2016,TotalUS
1745,2018-02-11,1.56,1317000.47,98465.26,270798.27,1839.8,945897.1399999999,organic,2018,TotalUS
1763,2017-06-18,1.71,1304554.29,169434.58,442594.36,2140.13,690385.22,organic,2017,TotalUS
1764,2017-05-28,1.69,1302205.55,163384.37,357431.2,3195.15,778194.8300000002,organic,2017,TotalUS
1782,2017-03-19,1.5,1284018.65,172196.56,411359.03,3304.62,697158.4399999998,organic,2017,TotalUS
1783,2018-01-21,1.63,1283987.65,108705.28,259172.13,1490.02,914620.2199999999,organic,2018,TotalUS
1836,2017-04-30,1.68,1248175.29,199039.61,421709.78,5187.46,622238.4400000002,organic,2017,TotalUS
1845,2017-12-31,1.52,1243940.09,120545.76,248123.56,1279.48,873991.29,organic,2017,TotalUS
